"1789-Washington" "1793-Washington" "1797-Adams" "1801-Jefferson" "1805-Jefferson" "1809-Madison" "1813-Madison" "1817-Monroe" "1821-Monroe" "1825-Adams" "1829-Jackson" "1833-Jackson" "1837-VanBuren" "1841-Harrison" "1845-Polk" "1849-Taylor" "1853-Pierce" "1857-Buchanan" "1861-Lincoln" "1865-Lincoln" "1869-Grant" "1873-Grant" "1877-Hayes" "1881-Garfield" "1885-Cleveland" "1889-Harrison" "1893-Cleveland" "1897-McKinley" "1901-McKinley" "1905-Roosevelt" "1909-Taft" "1913-Wilson" "1917-Wilson" "1921-Harding" "1925-Coolidge" "1929-Hoover" "1933-Roosevelt" "1937-Roosevelt" "1941-Roosevelt" "1945-Roosevelt" "1949-Truman" "1953-Eisenhower" "1957-Eisenhower" "1961-Kennedy" "1965-Johnson" "1969-Nixon" "1973-Nixon" "1977-Carter" "1981-Reagan" "1985-Reagan" "1989-Bush" "1993-Clinton" "1997-Clinton" "2001-Bush" "2005-Bush" "2009-Obama" "2013-Obama" "2017-Trump" "2021-Biden" "2025-Trump"
"freedom" 0 0 0 4 2 1 0 0 0 5 1 0 0 6 2 0 3 0 0 0 0 0 0 7 0 2 0 1 4 0 2 0 2 5 6 5 0 0 6 1 12 10 11 4 2 2 4 4 8 14 6 3 2 5 27 3 7 1 0 3
"free" 2 0 2 3 1 2 1 3 2 0 2 0 2 11 12 0 1 9 2 0 1 1 3 3 1 7 4 10 3 2 3 0 3 1 3 1 0 1 3 0 11 21 5 5 1 2 0 1 3 3 9 1 3 1 7 2 3 1 0 4
"faith" 1 0 3 3 1 0 1 6 1 3 2 0 4 3 2 2 3 2 4 0 3 1 2 2 3 3 2 4 7 1 2 0 0 0 6 5 1 2 4 1 4 14 0 2 5 1 4 2 3 3 2 2 1 3 2 3 2 0 3 2
"seek" 0 0 0 1 0 0 0 0 1 0 1 0 2 1 3 1 1 2 2 2 0 1 1 1 2 3 2 1 1 1 0 4 0 8 5 2 3 2 0 0 0 3 12 2 5 3 2 1 1 3 1 0 0 1 1 5 0 2 1 0
"hope" 2 0 1 2 0 1 0 0 1 4 2 0 9 4 2 3 8 1 3 2 1 0 1 2 1 4 2 1 1 0 11 2 1 6 7 5 1 2 3 1 4 9 8 4 4 5 2 2 4 5 8 3 2 2 7 3 3 1 3 2
"side" 1 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 2 1 4 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 1 1 1 0 0 0 0 0 8 1 1 0 0 3 1 0 0 0 1 1 1 0 0 0 0
"new" 1 0 1 0 1 0 0 1 2 1 0 0 4 1 5 1 1 1 3 1 0 1 2 5 1 7 0 3 5 2 4 5 3 11 6 7 1 6 4 0 8 1 4 7 5 8 15 9 3 9 14 9 29 5 1 11 6 6 3 6
"pledg" 1 0 1 0 0 1 1 0 1 2 0 0 1 3 1 0 3 0 0 0 0 0 1 0 2 0 3 0 1 0 1 0 0 2 1 0 2 2 0 0 0 1 4 7 0 0 2 1 2 1 0 1 2 2 0 1 2 0 2 1
"ask" 0 0 0 2 2 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 2 4 2 1 0 1 0 0 0 0 0 0 0 1 0 1 4 2 0 0 2 2 1 6 2 2 4 0 0 2 4 1 2 2 2 1 0 0 2 0
"chang" 0 0 0 1 2 1 0 0 3 0 0 0 1 4 0 0 1 0 4 0 0 2 3 3 0 1 0 3 0 1 10 4 1 2 1 1 2 5 0 0 1 2 4 1 12 1 0 1 0 4 2 11 2 1 0 2 3 1 1 5
"make" 0 0 1 2 0 0 0 3 3 0 2 1 3 10 4 2 1 1 6 1 0 2 2 8 2 6 1 4 5 0 16 2 2 10 9 2 2 5 1 1 3 7 1 1 0 10 8 0 4 3 8 3 5 4 5 2 9 6 3 4
"respons" 0 0 0 0 0 1 1 3 1 0 0 1 1 1 5 1 3 1 0 0 1 1 0 4 2 1 3 4 4 4 5 0 2 5 6 9 0 0 0 0 2 3 1 1 0 0 17 1 0 3 0 4 5 5 1 2 3 0 2 1
"togeth" 1 0 0 0 0 0 0 2 1 1 0 1 1 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 2 2 1 3 0 0 2 3 8 7 7 2 7 2 2 6 1 1 1 7 4 6 5
"strength" 0 0 0 0 2 0 0 3 3 0 0 0 2 0 1 2 4 0 0 0 0 1 0 1 1 2 3 0 0 1 0 1 0 2 0 2 0 0 0 0 2 10 3 1 2 1 1 7 5 1 3 2 2 1 1 1 2 2 3 1
"human" 2 0 4 0 3 1 2 0 2 5 1 0 4 2 4 0 4 2 2 0 0 1 2 0 1 0 2 0 1 0 0 4 0 7 9 6 1 2 6 1 6 2 2 4 0 2 2 6 1 9 0 0 5 2 6 1 1 0 0 2
"believ" 0 0 0 2 2 0 0 1 2 0 0 0 4 5 4 1 3 1 3 1 0 2 1 3 0 0 0 2 1 1 3 1 0 2 3 3 1 1 2 1 8 0 1 1 7 2 0 1 10 4 0 1 0 2 2 1 5 0 3 2
"time" 1 0 3 0 6 1 0 5 8 6 1 2 7 11 5 1 7 7 5 1 0 3 7 6 4 4 1 6 3 0 8 1 3 1 4 3 5 3 2 1 4 5 6 2 4 7 7 5 9 13 9 7 13 7 8 6 11 2 4 5
"work" 0 0 0 1 1 1 1 3 2 2 0 0 1 1 0 0 1 1 0 1 0 0 1 1 1 3 2 2 1 1 7 2 0 2 3 2 3 3 0 2 7 6 2 1 4 0 4 2 7 8 10 7 8 5 6 8 4 1 6 3
"day" 2 0 1 1 1 0 0 1 0 0 0 1 1 3 0 3 2 2 0 0 1 2 0 1 0 2 1 1 1 2 1 3 1 0 1 0 4 5 4 2 0 3 1 2 4 2 1 1 6 5 9 0 3 2 7 5 0 4 12 7
"centuri" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 4 1 4 0 0 1 2 1 0 0 0 0 0 0 3 1 1 1 3 0 2 1 5 3 1 1 3 2 2 21 2 3 0 1 0 4 0
"stori" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 10 0 0 0 0 9 0
"liberti" 3 0 4 3 3 2 0 3 1 3 2 4 1 20 4 1 2 3 1 0 0 0 0 5 1 1 0 1 6 0 1 2 1 4 3 2 0 1 1 0 5 1 0 1 6 0 0 2 3 1 1 1 2 1 15 2 5 0 2 1
"generat" 0 0 0 1 1 0 0 0 0 6 0 0 2 0 1 0 0 1 0 0 0 0 1 3 0 0 0 0 0 1 1 1 0 0 3 0 1 1 1 0 0 1 1 4 5 2 3 0 0 1 4 4 1 3 4 9 7 0 1 1
"requir" 2 1 0 0 1 0 1 2 4 1 2 0 0 4 4 0 4 5 1 0 3 1 1 2 1 2 1 0 2 0 7 0 0 2 7 0 2 2 0 0 1 1 0 1 2 0 2 1 3 0 0 1 0 1 2 1 8 0 2 0
"thank" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 2 1 5 2 0 2 0 2 1 3 3 23
"presid" 2 1 0 0 0 0 0 0 0 0 0 1 1 16 2 3 1 1 2 0 1 0 4 0 1 4 0 6 1 0 1 1 0 1 1 0 1 2 1 1 1 0 1 4 0 3 1 3 6 3 7 3 1 3 4 1 2 5 7 10
