"1789-Washington" "1793-Washington" "1797-Adams" "1801-Jefferson" "1805-Jefferson" "1809-Madison" "1813-Madison" "1817-Monroe" "1821-Monroe" "1825-Adams" "1829-Jackson" "1833-Jackson" "1837-VanBuren" "1841-Harrison" "1845-Polk" "1849-Taylor" "1853-Pierce" "1857-Buchanan" "1861-Lincoln" "1865-Lincoln" "1869-Grant" "1873-Grant" "1877-Hayes" "1881-Garfield" "1885-Cleveland" "1889-Harrison" "1893-Cleveland" "1897-McKinley" "1901-McKinley" "1905-Roosevelt" "1909-Taft" "1913-Wilson" "1917-Wilson" "1921-Harding" "1925-Coolidge" "1929-Hoover" "1933-Roosevelt" "1937-Roosevelt" "1941-Roosevelt" "1945-Roosevelt" "1949-Truman" "1953-Eisenhower" "1957-Eisenhower" "1961-Kennedy" "1965-Johnson" "1969-Nixon" "1973-Nixon" "1977-Carter" "1981-Reagan" "1985-Reagan" "1989-Bush" "1993-Clinton" "1997-Clinton" "2001-Bush" "2005-Bush" "2009-Obama" "2013-Obama" "2017-Trump" "2021-Biden" "2025-Trump"
"peac" 0 0 5 6 4 4 0 6 10 9 2 3 2 1 12 1 3 6 3 1 0 1 8 2 3 7 0 5 8 3 4 0 6 7 16 16 0 4 0 6 16 12 11 5 0 13 19 2 2 8 4 2 1 2 2 4 5 1 5 1
"among" 1 0 4 1 7 0 1 3 1 3 1 1 3 3 6 1 0 2 6 1 1 0 1 1 2 4 2 3 2 1 9 0 0 3 3 4 0 5 0 0 2 3 1 0 3 1 1 2 4 2 0 1 0 0 1 0 1 0 0 0
"human" 2 0 4 0 3 1 2 0 2 5 1 0 4 2 4 0 4 2 2 0 0 1 2 0 1 0 2 0 1 0 0 4 0 7 9 6 1 2 6 1 6 2 2 4 0 2 2 6 1 9 0 0 5 2 6 1 1 0 0 2
"men" 1 0 4 3 1 0 0 3 1 3 1 0 3 8 3 0 1 2 0 2 1 0 2 1 1 6 3 2 1 4 6 11 3 1 2 5 2 8 5 4 6 7 5 1 2 1 0 0 2 3 4 1 0 0 2 4 3 2 0 1
"reflect" 1 0 4 1 1 1 2 2 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0 1 0 0 0 0 0
"cours" 1 0 4 1 3 1 0 1 4 0 2 0 2 5 0 0 2 0 1 1 1 1 2 0 0 0 0 0 1 0 6 1 0 1 4 0 2 0 0 0 2 1 0 2 1 1 0 0 0 1 1 0 3 1 0 0 1 1 0 0
"preserv" 1 0 4 3 1 1 1 8 2 3 2 7 6 8 10 1 2 4 1 0 0 0 1 3 1 2 2 5 1 2 0 0 1 4 0 2 0 1 3 0 0 0 0 1 0 0 4 1 3 4 0 2 2 0 0 0 2 0 0 0
"pleas" 1 0 4 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
"determin" 0 0 4 0 0 1 0 0 0 0 0 0 3 2 0 1 0 2 0 0 4 0 1 1 2 0 1 0 2 1 4 2 0 1 9 4 0 1 1 0 3 0 0 0 0 1 2 0 1 1 0 1 0 1 3 1 2 1 0 0
"certain" 0 0 4 0 1 0 0 1 2 0 0 0 3 6 1 0 1 1 2 0 0 0 3 2 0 1 1 2 0 1 6 0 2 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 2 0 0 0 1 0 1 0
"general" 0 0 4 2 2 1 1 0 3 8 3 6 4 9 7 0 2 0 2 1 1 2 6 2 2 4 1 2 1 0 5 0 0 1 3 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"elect" 0 0 4 1 0 0 0 1 4 2 1 0 2 6 1 1 0 1 1 0 1 0 4 0 0 8 0 6 2 0 5 0 0 1 4 6 0 1 1 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 3
"support" 0 0 4 3 2 2 2 4 6 1 1 4 3 5 5 1 1 2 2 0 0 4 2 3 0 2 7 6 2 0 2 0 1 0 10 6 2 1 0 0 3 0 0 4 0 0 1 0 3 2 0 0 0 0 2 0 1 0 3 1
"knowledg" 0 0 4 0 1 0 0 0 2 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 0 2 0 1 1 3 0 0 1 0 4 2 2 0 2 0 0 0 0 0 0 1 1 1 0 2 1 1 0 1
"virtuous" 0 0 4 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"choic" 0 0 4 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 1 0 0 0 0 1 0 3 2 5 2 1 0 0 1
"fellow-citizen" 1 0 3 2 0 1 1 5 1 0 0 0 0 11 1 1 0 2 1 0 0 1 0 2 1 1 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"us" 1 0 2 10 7 2 1 14 6 4 2 4 12 10 4 4 9 0 0 3 5 2 5 6 4 7 10 6 8 12 3 5 8 9 8 4 6 5 8 1 5 11 2 12 12 20 26 8 25 27 13 13 27 11 3 23 21 2 27 2
"principl" 1 0 3 9 4 2 1 9 6 7 1 1 8 21 8 2 2 5 2 0 0 0 6 0 2 1 4 5 3 0 3 1 6 0 6 0 0 0 0 1 3 6 2 0 0 0 1 2 1 0 1 0 0 4 0 1 4 0 0 0
"right" 2 0 2 7 4 5 2 6 7 10 4 3 5 19 17 2 16 4 16 3 2 1 6 6 6 8 3 7 3 3 10 4 4 1 12 4 1 0 1 0 8 3 2 4 1 0 7 4 1 5 5 2 1 1 6 2 3 5 3 7
"let" 0 0 0 7 2 0 1 2 0 0 0 3 0 1 1 2 4 2 0 4 1 1 1 3 2 2 0 2 0 0 0 2 3 4 1 0 1 1 1 0 0 0 0 16 2 11 22 4 6 7 2 9 9 0 0 7 2 3 6 2
"man" 0 0 0 6 2 0 1 0 0 2 0 0 0 3 3 0 2 3 1 1 1 1 0 1 2 4 1 0 0 1 2 2 1 2 3 2 0 0 1 0 4 6 1 4 10 10 0 1 6 4 5 0 1 0 1 3 0 0 0 0
"opinion" 0 0 2 5 5 0 0 2 3 6 0 2 6 10 8 1 3 4 2 0 1 0 2 4 0 1 2 2 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"safeti" 0 0 0 5 2 0 1 1 0 0 0 1 1 2 5 0 1 1 0 0 0 0 0 1 2 1 1 2 2 0 2 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 2
"other" 0 0 0 5 4 2 1 0 1 0 0 0 1 9 3 0 2 1 3 0 1 1 0 0 0 3 0 1 1 2 1 1 0 1 3 0 1 0 0 0 1 3 3 0 2 0 5 2 2 1 4 2 1 1 3 0 1 0 0 0
"trust" 2 0 0 4 2 2 1 4 4 2 2 0 6 4 0 1 3 2 2 1 2 1 3 1 3 1 1 3 1 0 0 1 0 0 0 1 2 0 0 0 0 2 0 0 1 0 1 2 0 2 0 0 1 2 1 2 0 0 1 2
"error" 1 0 0 4 1 1 0 0 1 1 0 0 2 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"first" 2 0 3 4 2 0 0 2 1 8 0 1 3 6 1 0 0 0 1 1 0 3 2 2 0 3 0 0 1 0 1 2 1 0 2 3 4 2 3 0 4 2 0 4 1 5 0 2 2 2 4 1 1 0 2 0 0 4 3 3
"equal" 2 0 3 4 3 2 1 6 13 6 1 1 5 2 10 0 3 3 3 0 1 2 4 6 1 3 2 1 2 0 1 1 6 3 0 2 1 0 0 0 5 6 3 0 0 2 1 2 2 1 0 0 2 1 1 1 7 0 1 1
"honest" 1 0 1 4 1 0 0 1 0 1 0 0 2 0 0 1 1 1 0 0 0 0 2 2 4 3 2 0 1 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1
"republican" 1 0 1 4 0 1 0 1 0 2 0 0 0 5 2 1 0 0 1 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"law" 0 0 2 4 7 1 0 2 6 3 2 1 3 7 11 2 5 4 27 0 7 1 8 16 4 25 6 16 5 0 22 4 0 7 11 20 0 0 0 0 2 5 6 1 0 3 1 3 0 1 0 1 1 2 2 1 2 1 0 3
"freedom" 0 0 0 4 2 1 0 0 0 5 1 0 0 6 2 0 3 0 0 0 0 0 0 7 0 2 0 1 4 0 2 0 2 5 6 5 0 0 6 1 12 10 11 4 2 2 4 4 8 14 6 3 2 5 27 3 7 1 0 3
"faith" 1 0 3 3 1 0 1 6 1 3 2 0 4 3 2 2 3 2 4 0 3 1 2 2 3 3 2 4 7 1 2 0 0 0 6 5 1 2 4 1 4 14 0 2 5 1 4 2 3 3 2 2 1 3 2 3 2 0 3 2
"advanc" 2 0 0 3 2 2 1 2 1 2 1 1 0 3 1 1 4 0 0 0 0 1 1 0 1 1 1 2 0 0 1 0 0 1 4 12 1 2 1 0 4 0 0 0 1 1 0 0 0 0 1 0 2 1 3 2 2 0 0 0
"free" 2 0 2 3 1 2 1 3 2 0 2 0 2 11 12 0 1 9 2 0 1 1 3 3 1 7 4 10 3 2 3 0 3 1 3 1 0 1 3 0 11 21 5 5 1 2 0 1 3 3 9 1 3 1 7 2 3 1 0 4
"world" 1 0 3 3 2 2 1 0 2 1 0 2 2 2 5 0 3 3 1 1 1 3 2 3 1 1 0 6 2 3 2 2 6 25 13 15 6 2 3 2 23 16 16 8 7 15 18 6 9 16 10 20 15 3 8 8 3 6 8 10
"favor" 1 0 0 3 3 1 1 8 3 1 1 0 3 2 3 0 0 1 3 0 2 1 2 0 1 2 3 2 2 0 5 0 0 2 6 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"differ" 0 0 1 3 0 1 0 1 6 3 1 0 3 8 3 1 2 2 6 0 0 1 3 1 1 1 1 3 2 1 2 0 0 1 2 0 0 1 0 0 5 5 0 1 3 0 3 1 0 2 4 0 4 1 1 1 3 1 1 0
"commerc" 0 0 3 3 0 2 0 3 11 2 1 0 1 0 3 1 2 1 0 0 1 4 0 2 1 2 0 2 0 0 8 1 1 0 0 0 0 0 0 0 1 2 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0
"inde" 0 0 1 3 1 1 0 0 0 0 0 1 3 7 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2
"polit" 0 0 1 3 1 0 3 1 0 6 1 2 5 8 1 1 1 5 2 0 2 1 10 2 2 3 4 2 2 1 5 2 5 3 6 4 2 3 0 0 0 4 0 0 0 0 0 1 3 2 0 2 4 1 0 2 1 1 3 3
"best" 0 0 1 3 2 3 0 9 2 3 1 1 0 7 1 2 4 5 2 0 5 6 6 3 3 2 2 7 2 1 3 1 0 4 4 0 1 0 0 0 0 0 1 2 2 0 2 3 2 4 1 1 0 4 2 0 0 0 2 1
"time" 1 0 3 0 6 1 0 5 8 6 1 2 7 11 5 1 7 7 5 1 0 3 7 6 4 4 1 6 3 0 8 1 3 1 4 3 5 3 2 1 4 5 6 2 4 7 7 5 9 13 9 7 13 7 8 6 11 2 4 5
"limit" 1 0 0 1 6 2 0 2 5 4 2 0 6 5 10 1 4 0 2 0 0 1 1 1 3 3 3 0 0 0 2 1 1 0 2 4 0 0 1 0 2 1 0 0 0 1 2 2 3 3 1 0 0 1 0 0 0 0 0 0
"reason" 0 0 0 3 6 2 1 0 5 0 0 0 3 1 6 0 3 2 3 1 0 1 0 0 1 5 0 3 0 2 6 0 0 1 7 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
"place" 2 0 1 1 5 1 3 3 8 1 1 1 1 8 1 0 4 2 2 1 1 2 1 6 3 2 3 1 0 0 2 1 1 4 1 4 1 0 1 0 2 1 0 2 4 1 4 2 4 4 6 2 1 3 1 2 0 0 2 4
"fals" 0 0 0 0 5 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0
"enabl" 1 0 1 1 4 0 0 1 3 0 0 0 0 1 1 0 1 0 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"due" 1 0 0 1 4 0 0 2 2 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 3 1 0 1 0 0 4 0 0 1 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"moral" 1 0 1 0 4 0 0 0 0 1 0 0 0 1 3 1 2 0 2 0 0 1 2 3 1 0 0 1 0 0 1 2 0 1 2 3 2 7 0 1 1 3 1 0 0 0 0 3 1 1 2 0 0 0 1 0 0 0 0 0
"truth" 1 0 1 1 4 1 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 3 3 0 2 1 3 2 0 0 0 0 0 0 0 0 2 0 0 1 1 3 0 5 0
"therefor" 1 0 0 0 4 0 0 3 3 1 1 2 1 5 1 0 2 1 1 0 0 2 0 1 0 2 0 4 0 1 5 0 1 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"war" 0 0 1 1 4 2 15 13 18 7 1 0 3 3 6 0 1 6 2 12 1 4 0 5 0 3 0 7 7 0 6 0 4 14 3 3 3 1 0 2 3 5 1 4 1 3 5 2 1 1 3 2 2 1 0 2 3 0 7 4
"maintain" 0 0 2 0 4 1 1 4 5 1 0 2 3 2 1 1 3 1 2 0 1 3 1 2 0 2 2 2 0 0 8 0 0 4 8 2 0 2 2 0 3 0 0 0 0 0 1 1 4 0 0 0 2 0 0 0 1 0 0 0
"within" 0 0 0 1 4 1 0 5 5 3 1 2 0 5 13 0 6 0 2 0 0 2 1 4 1 1 2 0 1 0 5 0 0 3 2 2 1 3 3 0 1 2 0 0 1 3 0 2 1 1 1 0 2 0 0 0 0 0 1 1
"press" 0 0 0 1 4 1 0 0 0 1 1 0 1 3 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"need" 0 0 0 0 4 0 1 1 1 1 0 1 1 0 3 0 3 0 2 2 0 0 2 1 6 5 0 5 3 1 7 2 1 3 4 2 6 3 1 0 4 5 3 1 1 9 3 1 3 1 7 3 2 3 3 1 3 0 4 0
"habit" 1 0 0 0 3 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0
"well" 2 0 3 1 2 4 0 4 5 0 1 0 4 14 5 0 2 4 3 1 2 0 3 1 2 5 1 3 2 1 6 5 1 2 3 1 1 1 1 0 1 0 0 3 0 2 0 0 3 2 1 2 1 1 1 2 4 0 1 0
"author" 1 0 3 2 2 4 2 1 3 3 1 0 5 11 5 1 2 0 7 0 0 0 2 10 0 0 0 3 4 0 2 0 0 1 0 1 2 0 0 0 1 0 1 0 0 0 0 0 1 2 0 1 0 2 1 0 1 0 0 0
"difficulti" 1 0 0 2 0 3 0 2 1 1 0 1 3 6 1 0 0 1 2 0 0 0 0 0 0 3 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"success" 2 0 2 1 1 3 4 4 2 3 0 2 4 2 3 0 1 2 2 0 0 0 0 1 0 1 0 0 2 3 2 2 1 2 7 1 1 1 1 1 2 0 1 2 1 0 0 1 1 0 1 0 0 0 2 2 0 2 0 4
"full" 0 0 1 1 2 3 0 3 4 0 0 1 1 3 1 0 0 0 1 0 0 0 0 4 2 4 0 1 3 1 4 0 2 4 2 4 0 0 2 0 1 4 3 0 0 1 1 1 1 1 0 0 1 1 0 1 0 0 1 3
"improv" 0 0 2 1 3 3 0 4 4 5 2 0 2 1 1 1 0 2 0 0 0 0 1 1 1 1 0 2 0 0 5 0 0 0 1 0 0 1 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"resourc" 0 0 1 1 1 3 2 4 4 1 0 0 4 1 1 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 2 1 0 2 6 1 1 1 1 0 6 2 1 0 2 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0
"liber" 0 0 0 0 2 3 1 1 1 3 1 2 1 3 0 2 0 1 0 0 0 0 1 1 0 0 0 2 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 1 2
"civil" 1 0 0 1 1 2 1 1 3 2 1 0 2 4 1 3 1 3 2 1 2 7 3 2 5 5 1 4 5 1 1 0 0 13 2 6 1 2 1 1 1 0 0 1 0 1 1 0 0 0 1 3 1 6 0 1 0 1 2 1
"council" 1 0 0 1 1 2 0 0 0 2 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"aid" 1 0 0 0 1 2 0 3 4 0 2 0 1 4 2 1 2 1 0 1 1 1 2 3 2 1 3 1 0 0 3 0 1 1 0 1 0 3 0 0 5 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0
"essenti" 1 0 1 1 0 2 0 5 2 0 1 0 1 4 1 1 1 0 1 0 0 0 2 0 0 0 0 2 2 1 1 1 2 3 1 1 3 2 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
"without" 2 0 3 2 2 2 4 3 7 1 1 3 5 9 4 1 3 4 3 2 5 3 1 3 0 7 1 4 6 1 6 5 1 2 4 1 3 3 2 0 2 0 5 0 5 2 0 0 0 0 0 0 0 1 2 2 1 0 1 1
"gratitud" 1 0 2 1 0 2 0 0 0 1 1 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"made" 1 0 0 0 3 2 1 5 15 6 0 1 4 11 2 1 3 0 5 0 0 6 4 9 1 5 2 3 3 2 11 4 1 5 5 1 2 2 0 0 1 1 0 0 4 1 2 0 1 6 5 1 3 0 0 0 3 2 0 2
"feel" 1 0 2 1 1 2 0 2 2 2 1 0 6 8 2 1 2 1 0 0 1 4 2 0 0 1 0 0 1 1 11 1 1 3 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 2 0 0 0 0 0
"respect" 1 0 3 0 0 2 2 5 7 6 2 0 2 12 5 1 5 1 2 0 2 0 7 2 0 7 0 3 0 0 11 1 0 0 1 6 4 0 0 0 1 1 3 0 0 0 6 3 0 0 0 0 0 1 0 1 0 0 3 3
"union" 2 0 2 2 3 2 0 10 5 20 1 9 2 13 32 2 5 9 20 4 2 2 3 11 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 5 1 0 4 1 1 0 1 0 2 0
"prosper" 1 0 2 2 1 2 1 6 2 0 0 1 6 2 5 1 3 4 0 0 1 0 5 1 4 4 1 3 1 0 1 0 0 1 6 5 1 3 0 0 4 0 2 0 1 0 0 0 2 0 3 1 1 1 1 6 1 3 1 3
"observ" 1 0 0 0 0 2 0 0 1 1 2 2 0 10 2 0 3 1 0 0 0 0 2 0 1 7 0 3 2 0 2 0 0 0 2 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"british" 0 0 0 0 0 0 5 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"part" 0 0 1 1 0 0 3 4 9 2 0 2 2 16 10 1 1 1 4 1 3 2 2 1 0 1 1 2 5 0 4 4 4 4 1 7 3 2 1 0 0 0 0 0 1 2 1 0 1 1 6 1 1 0 0 2 0 1 0 0
"long" 0 0 3 1 0 2 3 2 3 0 3 1 3 6 2 0 1 2 0 0 1 1 1 3 0 2 1 3 2 0 2 3 0 2 2 2 0 1 1 0 2 3 3 2 1 2 4 1 2 1 2 1 3 2 5 4 3 2 1 0
"arm" 0 0 0 0 0 2 3 0 2 1 2 0 0 1 2 1 0 1 1 1 0 0 0 0 0 0 0 1 2 0 3 0 3 2 2 1 1 0 0 1 3 1 1 4 0 1 2 0 0 3 0 1 0 0 2 0 1 0 0 1
"carri" 0 0 0 0 0 1 3 0 5 1 0 0 3 3 1 0 3 0 0 0 1 3 1 0 0 1 1 4 1 0 4 1 0 2 0 1 0 2 2 0 2 1 1 0 0 0 0 0 2 2 0 0 0 1 1 4 3 1 2 1
"savag" 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"receiv" 1 0 0 0 0 0 2 1 2 1 0 0 3 3 0 1 0 1 0 0 1 3 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"might" 2 0 1 1 2 1 2 4 4 0 0 0 4 11 2 0 2 3 3 1 0 1 0 0 0 3 0 1 0 0 3 2 0 0 3 0 0 0 0 0 1 1 0 0 0 0 0 2 1 1 2 1 1 0 0 2 0 0 1 0
"conduct" 1 0 1 0 2 0 2 3 4 0 0 1 6 2 1 2 1 2 1 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0
"mean" 1 0 1 0 1 1 2 1 1 0 1 0 0 6 7 0 0 4 2 0 0 0 1 1 1 2 0 2 0 1 2 5 2 3 7 2 2 2 0 0 2 6 2 0 2 1 0 1 5 0 8 1 1 1 3 2 5 1 1 1
"forc" 1 0 0 1 0 1 2 8 11 4 1 0 0 2 1 0 1 0 5 0 0 1 1 3 0 0 0 1 4 1 6 3 2 3 8 2 0 4 1 0 3 5 6 0 0 2 2 1 0 0 1 4 2 0 3 3 2 0 3 1
"consider" 1 0 2 0 0 0 2 1 4 0 1 2 2 0 1 0 1 2 1 0 0 0 2 1 0 4 1 5 0 0 9 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"consid" 1 0 3 0 1 0 2 0 3 0 2 0 0 6 0 0 1 3 2 0 0 1 2 0 0 0 0 2 0 0 1 0 0 0 1 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1
"stake" 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0
"import" 1 0 0 0 3 0 1 10 7 1 3 3 1 8 3 1 5 7 0 0 1 1 9 3 0 0 2 5 2 2 12 0 1 1 5 3 3 0 0 1 0 0 0 0 1 1 2 0 1 1 1 0 1 2 0 0 0 1 1 3
"depend" 1 0 1 0 0 0 0 7 3 0 1 0 2 2 2 0 2 0 1 1 0 0 2 1 1 1 2 1 0 1 4 0 1 2 2 1 0 1 0 1 1 0 1 0 0 0 0 0 2 1 0 0 1 1 3 2 0 0 1 0
"danger" 0 0 3 0 1 1 0 7 3 2 1 2 7 12 3 0 4 1 0 0 0 1 0 7 0 4 2 1 0 1 2 0 0 2 1 4 0 0 0 0 1 2 1 1 1 1 2 0 1 1 0 1 0 1 1 2 1 0 0 2
"put" 0 0 0 0 0 0 0 7 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 2 0 0 4 2 0 1 1 0 3 0 1 0 0 0 0 0 0 0 0 0 2 2 3 1 1 0 0 1 0 1 2 2
"advantag" 2 0 1 0 0 0 0 6 4 0 1 0 2 2 1 0 3 2 1 0 0 1 0 0 1 3 2 2 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1
"protect" 0 0 1 2 1 0 1 6 6 2 1 0 4 4 23 4 3 6 3 0 2 0 3 6 4 4 4 4 3 0 11 0 0 1 4 1 2 1 1 0 1 0 0 0 0 1 0 0 0 3 1 0 1 1 2 2 1 7 2 3
"invas" 0 0 0 1 0 0 0 6 2 0 0 0 1 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"alway" 0 0 0 0 0 1 0 6 4 0 0 0 2 3 0 1 4 0 2 1 1 0 1 1 0 1 1 7 0 0 3 2 1 0 6 0 1 2 0 2 0 0 0 4 4 0 1 0 0 3 2 1 3 0 3 1 2 2 2 0
"much" 1 0 1 2 0 0 0 5 5 1 0 0 2 10 2 1 3 4 5 0 0 0 0 2 1 1 1 2 0 3 5 2 0 1 12 3 1 1 0 0 0 0 2 1 1 0 1 0 4 4 3 2 1 2 0 1 0 1 8 6
"purpos" 1 0 0 0 0 1 1 5 8 4 0 1 1 5 2 1 2 1 6 1 0 1 4 2 0 4 4 5 6 1 2 3 9 3 1 9 1 6 2 1 2 6 5 0 3 1 1 1 0 1 2 1 0 4 1 2 2 0 1 3
"whole" 0 0 3 2 1 0 0 3 9 6 0 0 3 9 7 1 1 4 4 1 0 1 3 0 1 4 0 0 0 0 1 1 2 0 0 9 1 2 0 0 0 2 3 0 0 1 0 0 1 0 1 0 1 0 2 0 0 0 3 0
"revenu" 0 0 0 0 3 1 0 2 9 1 3 0 0 5 14 0 0 2 0 0 2 0 0 0 1 6 1 15 1 0 4 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"afford" 0 0 0 0 1 0 0 3 8 1 0 0 0 3 3 0 1 1 1 0 0 1 0 2 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 3 0 0 1 0 0 1 0 2 1 0 0 0
"term" 0 0 0 0 1 0 1 1 7 0 1 2 1 4 5 0 0 1 4 0 0 1 3 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
